Cholera,A00-Cholera
Poranenie okohybného nervu (n. oculomotorius),S04.1-Poranenie okohybného nervu (n. oculomoto
Poranenie kladkového nervu (n. trochlearis),S04.2-Poranenie kladkového nervu (n. trochlear
Poranenie trojklaného nervu (n. trigeminus),S04.3-Poranenie trojklaného nervu (n. trigemin
Poranenie odťahujúceho nervu (n. abducens),S04.4-Poranenie odťahujúceho nervu (n. abducen
Poranenie tvárového nervu (n. facialis),S04.5-Poranenie tvárového nervu (n. facialis)
Poranenie sluchového nervu (n. acusticus),S04.6-Poranenie sluchového nervu (n. acusticus
Poranenie prídavného nervu (n. accessorius),S04.7-Poranenie prídavného nervu (n. accessori
Poranenie iného hlavového nervu,S04.8-Poranenie iného hlavového nervu
Poranenie bližšie neurčeného hlavového nervu,S04.9-Poranenie bližšie neurčeného hlavového n
Poranenie oka a očnice,S05-Poranenie oka a očnice
Poranenie spojovky a abrázia rohovky bez zmienky o cudzom telese,S05.0-Poranenie spojovky a abrázia rohovky bez
Pomliaždenie očnej gule a tkanív očnice,S05.1-Pomliaždenie očnej gule a tkanív očnice
Tržná rana a roztrhnutie oka s prolapsom alebo stratou vnútroočného tkaniva,S05.2-Tržná rana a roztrhnutie oka s prolapsom
Tržná rana oka bez prolapsu alebo straty vnútroočného tkaniva,S05.3-Tržná rana oka bez prolapsu alebo straty
Penetrujúca rana očnice s cudzím telesom alebo bez cudzieho telesa,S05.4-Penetrujúca rana očnice s cudzím telesom
Penetrujúca rana očnej gule s cudzím telesom,S05.5-Penetrujúca rana očnej gule s cudzím tel
Penetrujúca rana očnej gule bez cudzieho telesa,S05.6-Penetrujúca rana očnej gule bez cudzieho
Avulzia (vytrhnutie) oka,S05.7-Avulzia (vytrhnutie) oka
Iné poranenie oka a očnice,S05.8-Iné poranenie oka a očnice
"Poranenie oka a očnice, bližšie neurčené",S05.9-Poranenie oka a očnice, bližšie neurčené
Vnútrolebkové poranenie,S06-Vnútrolebkové poranenie
Otras mozgu,S06.0-Otras mozgu
Poúrazový opuch mozgu,S06.1-Poúrazový opuch mozgu
"Difúzne poranenie mozgu a mozočka, bližšie neurčené",S06.20-Difúzne poranenie mozgu a mozočka, bližš
Difúzne pomliaždenie mozgu,S06.21-Difúzne pomliaždenie mozgu
Difúzne pomliaždenie mozočka,S06.22-Difúzne pomliaždenie mozočka
Viaceré vnútromozgové a mozočkové hematómy,S06.23-Viaceré vnútromozgové a mozočkové hemató
Iné difúzne poranenie mozgu a mozočka,S06.28-Iné difúzne poranenie mozgu a mozočka
"Ložiskové poranenie mozgu a mozočka, bližšie neurčené",S06.30-Ložiskové poranenie mozgu a mozočka, bli
Ložiskové pomliaždenie mozgu,S06.31-Ložiskové pomliaždenie mozgu
Ložiskové pomliaždenie mozočka,S06.32-Ložiskové pomliaždenie mozočka
Ložiskový hematóm mozgu,S06.33-Ložiskový hematóm mozgu
Ložiskový hematóm mozočka,S06.34-Ložiskový hematóm mozočka
Iné ložiskové poranenie mozgu a mozočka,S06.38-Iné ložiskové poranenie mozgu a mozočka
Epidurálne krvácanie,S06.4-Epidurálne krvácanie
Subdurálne krvácanie po úraze,S06.5-Subdurálne krvácanie po úraze
Subarachnoidálne krvácanie po úraze,S06.6-Subarachnoidálne krvácanie po úraze
Iné vnútrolebkové poranenie,S06.8-Iné vnútrolebkové poranenie
"Vnútrolebkové poranenie, bližšie neurčené",S06.9-Vnútrolebkové poranenie, bližšie neurčen
Drvivé poranenie hlavy,S07-Drvivé poranenie hlavy
Drvivé poranenie tváre,S07.0-Drvivé poranenie tváre
Drvivé poranenie lebky,S07.1-Drvivé poranenie lebky
Drvivé poranenie iných častí hlavy,S07.8-Drvivé poranenie iných častí hlavy
"Drvivé poranenie hlavy, časť bližšie neurčená",S07.9-Drvivé poranenie hlavy, časť bližšie neu
Úrazová amputácia časti hlavy,S08-Úrazová amputácia časti hlavy
Avulzia (odtrhnutie) vlasatej časti hlavy,S08.0-Avulzia (odtrhnutie) vlasatej časti hlav
Úrazová amputácia ucha,S08.1-Úrazová amputácia ucha
Úrazová amputácia inej časti hlavy,S08.8-Úrazová amputácia inej časti hlavy
Úrazová amputácia bližšie neurčenej časti hlavy,S08.9-Úrazová amputácia bližšie neurčenej čast
Iné a bližšie neurčené poranenie hlavy,S09-Iné a bližšie neurčené poranenie hlavy
"Poranenie cievy hlavy, nezatriedené inde",S09.0-Poranenie cievy hlavy, nezatriedené inde
Poranenie svalu a šľachy hlavy,S09.1-Poranenie svalu a šľachy hlavy
Úrazové roztrhnutie ušného bubienka,S09.2-Úrazové roztrhnutie ušného bubienka
Viaceré poranenia hlavy,S09.7-Viaceré poranenia hlavy
"Iné poranenie hlavy, bližšie určené",S09.8-Iné poranenie hlavy, bližšie určené
"Poranenie hlavy, bližšie neurčené",S09.9-Poranenie hlavy, bližšie neurčené
Povrchové poranenie krku,S10-Povrchové poranenie krku
Pomliaždenie hrdla,S10.0-Pomliaždenie hrdla
Iné a bližšie neurčené povrchové poranenia hrdla: druh poranenia bližšie neurčený,S10.10-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia hrdla: odrenina,S10.11-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia hrdla: tvorba pľuzgierov (netermických),S10.12-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia hrdla: uštipnutie hmyzom alebo vpich (nejedovatý),S10.13-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia hrdla: povrchové cudzie telesá (úlomky),S10.14-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia hrdla: iné,S10.18-Iné a bližšie neurčené povrchové poranen
Viaceré povrchové poranenia krku,S10.7-Viaceré povrchové poranenia krku
Povrchové poranenie inej časti krku: druh poranenia bližšie neurčený,S10.80-Povrchové poranenie inej časti krku: dru
Povrchové poranenie inej časti krku: odrenina,S10.81-Povrchové poranenie inej časti krku: odr
Povrchové poranenie inej časti krku: tvorba pľuzgierov (netermických),S10.82-Povrchové poranenie inej časti krku: tvo
Povrchové poranenie inej časti krku: uštipnutie hmyzom alebo vpich (nejedovatý),S10.83-Povrchové poranenie inej časti krku: ušt
Povrchové poranenie inej časti krku: povrchové cudzie teleso (úlomky),S10.84-Povrchové poranenie inej časti krku: pov
Povrchové poranenie inej časti krku: pomliaždenie,S10.85-Povrchové poranenie inej časti krku: pom
Povrchové poranenie inej časti krku: iné,S10.88-Povrchové poranenie inej časti krku: iné
"Povrchové poranenie krku, bližšie neurčená časť: druh poranenia bližšie neurčený",S10.90-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: odrenina",S10.91-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: tvorba pľuzgierov (netermických)",S10.92-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: uštipnutie hmyzom alebo vpich (nejedovatý)",S10.93-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: povrchové cudzie telesá (úlomky)",S10.94-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: pomliaždenie",S10.95-Povrchové poranenie krku, bližšie neurče
"Povrchové poranenie krku, bližšie neurčená časť: iné",S10.98-Povrchové poranenie krku, bližšie neurče
Otvorená rana krku,S11-Otvorená rana krku
Otvorená rana hrtana,S11.01-Otvorená rana hrtana
Otvorená rana krčnej časti priedušnice,S11.02-Otvorená rana krčnej časti priedušnice
Otvorená rana postihujúca štítnu žľazu,S11.1-Otvorená rana postihujúca štítnu žľazu
Otvorená rana hltana,S11.21-Otvorená rana hltana
Otvorená rana krčnej časti pažeráka,S11.22-Otvorená rana krčnej časti pažeráka
Viaceré otvorené rany krku,S11.7-Viaceré otvorené rany krku
Bližšie neurčená otvorená rana iných častí krku,S11.80-Bližšie neurčená otvorená rana iných čas
"Otvorená rana krku, bližšie neurčenej časti",S11.9-Otvorená rana krku, bližšie neurčenej ča
Zlomenina krčnej chrbtice,S12-Zlomenina krčnej chrbtice
Zlomenina 1.krčného stavca,S12.0-Zlomenina 1.krčného stavca
Zlomenina 2.krčného stavca,S12.1-Zlomenina 2.krčného stavca
Zlomenina 3.krčného stavca,S12.21-Zlomenina 3.krčného stavca
Zlomenina 4. krčného stavca,S12.22-Zlomenina 4. krčného stavca
Zlomenina 5. krčného stavca,S12.23-Zlomenina 5. krčného stavca
Zlomenina 6. krčného stavca,S12.24-Zlomenina 6. krčného stavca
Zlomenina 7. krčného stavca,S12.25-Zlomenina 7. krčného stavca
Viaceré zlomeniny krčnej chrbtice,S12.7-Viaceré zlomeniny krčnej chrbtice
Zlomenina iných častí krku,S12.8-Zlomenina iných častí krku
"Zlomenina krku, bližšie neurčenej časti",S12.9-Zlomenina krku, bližšie neurčenej časti
"Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov krku",S13-Vykĺbenie, vyvrtnutie a natiahnutie kĺbo
Úrazové natrhnutie krčnej medzistavcovej platničky,S13.0-Úrazové natrhnutie krčnej medzistavcovej
Vykĺbenie krčného stavca v bližšie neurčenej úrovni,S13.10-Vykĺbenie krčného stavca v bližšie neurč
Vykĺbenie krčného stavca v úrovni C1/C2,S13.11-Vykĺbenie krčného stavca v úrovni C1/C2
Vykĺbenie krčného stavca v úrovni C2/C3,S13.12-Vykĺbenie krčného stavca v úrovni C2/C3
Vykĺbenie krčného stavca v úrovni C3/C4,S13.13-Vykĺbenie krčného stavca v úrovni C3/C4
Vykĺbenie krčného stavca v úrovni C4/C5,S13.14-Vykĺbenie krčného stavca v úrovni C4/C5
Vykĺbenie krčného stavca v úrovni C5/C6,S13.15-Vykĺbenie krčného stavca v úrovni C5/C6
Vykĺbenie krčného stavca v úrovni C6/C7,S13.16-Vykĺbenie krčného stavca v úrovni C6/C7
Vykĺbenie krčného stavca v úrovni C7/Th1,S13.17-Vykĺbenie krčného stavca v úrovni C7/Th1
Vykĺbenie krčného stavca v inej úrovni,S13.18-Vykĺbenie krčného stavca v inej úrovni
Vykĺbenie inej a bližšie neurčenej časti krku,S13.2-Vykĺbenie inej a bližšie neurčenej časti
Viaceré vykĺbenia v oblasti krku,S13.3-Viaceré vykĺbenia v oblasti krku
Vyvrtnutie a natiahnutie krčnej chrbtice,S13.4-Vyvrtnutie a natiahnutie krčnej chrbtice
Vyvrtnutie a natiahnutie krku v oblasti štítnej žľazy,S13.5-Vyvrtnutie a natiahnutie krku v oblasti 
Vyvrtnutie a natiahnutie kĺbov a väzov iných a bližšie neurčených častí krku,S13.6-Vyvrtnutie a natiahnutie kĺbov a väzov i
Poranenie krčných nervov a krčnej miechy,S14-Poranenie krčných nervov a krčnej miechy
Otras a opuch krčnej miechy,S14.0-Otras a opuch krčnej miechy
"Poranenie krčnej miechy, bližšie neurčené",S14.10-Poranenie krčnej miechy, bližšie neurčen
Kompletné priečne poranenie krčnej miechy,S14.11-Kompletné priečne poranenie krčnej miech
Poranenie centrálnej časti krčnej miechy (nekompletné priečne poranenie),S14.12-Poranenie centrálnej časti krčnej miechy
Iné nekompletné priečne poranenie krčnej miechy,S14.13-Iné nekompletné priečne poranenie krčnej
Poranenie krčného nervového koreňa,S14.2-Poranenie krčného nervového koreňa
Poranenie plexus brachialis,S14.3-Poranenie plexus brachialis
Poranenie periférnych krčných nervov,S14.4-Poranenie periférnych krčných nervov
Poranenie nervov krčného sympatika,S14.5-Poranenie nervov krčného sympatika
Poranenie iných a bližšie neurčených krčných nervov,S14.6-Poranenie iných a bližšie neurčených krč
Poranenie krvných ciev v úrovni krku,S15-Poranenie krvných ciev v úrovni krku
"Poranenie a.carotis, časť bližšie neurčená",S15.00-Poranenie a.carotis, časť bližšie neurče
Poranenie a.carotis communis,S15.01-Poranenie a.carotis communis
Poranenie a.carotis externa,S15.02-Poranenie a.carotis externa
Poranenie a.carotis interna,S15.03-Poranenie a.carotis interna
Poranenie a.vertebralis,S15.1-Poranenie a.vertebralis
Poranenie v. jugularis externa,S15.2-Poranenie v. jugularis externa
Poranenie v. jugularis interna,S15.3-Poranenie v. jugularis interna
Poranenie viacerých krvných ciev v úrovni krku,S15.7-Poranenie viacerých krvných ciev v úrovn
Poranenie iných krvných ciev v úrovni krku,S15.8-Poranenie iných krvných ciev v úrovni kr
"Poranenie krvných ciev v úrovni krku, bližšie neurčených",S15.9-Poranenie krvných ciev v úrovni krku, bl
Poranenie svalov a šliach v úrovni krku,S16-Poranenie svalov a šliach v úrovni krku
Drvivé poranenie krku,S17-Drvivé poranenie krku
Drvivé poranenie hrtana a priedušnice,S17.0-Drvivé poranenie hrtana a priedušnice
Drvivé poranenie inej časti krku,S17.8-Drvivé poranenie inej časti krku
Drvivé poranenie bližšie neurčenej časti krku,S17.9-Drvivé poranenie bližšie neurčenej časti
Úrazová amputácia v úrovni krku,S18-Úrazová amputácia v úrovni krku
Iné a bližšie neurčené poranenie krku,S19-Iné a bližšie neurčené poranenie krku
Viaceré poranenia krku,S19.7-Viaceré poranenia krku
"Iné poranenie krku, bližšie určené",S19.8-Iné poranenie krku, bližšie určené
"Poranenie krku, bližšie neurčené",S19.9-Poranenie krku, bližšie neurčené
Povrchové poranenie hrudníka,S20-Povrchové poranenie hrudníka
Pomliaždenie prsníka,S20.0-Pomliaždenie prsníka
Iné a bližšie neurčené povrchové poranenia prsníka: druh poranenia bližšie neurčený,S20.10-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia prsníka: odrenina,S20.11-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia prsníka: tvorba pľuzgierov (netermických),S20.12-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia prsníka: uštipnutie hmyzom alebo vpich (nejedovatý),S20.13-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia prsníka: povrchové cudzie telesá (úlomky),S20.14-Iné a bližšie neurčené povrchové poranen
Iné a bližšie neurčené povrchové poranenia prsníka: iné,S20.18-Iné a bližšie neurčené povrchové poranen
Pomliaždenie hrudníka,S20.2-Pomliaždenie hrudníka
Iné povrchové poranenie prednej steny hrudníka: druh poranenia bližšie neurčený,S20.30-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie prednej steny hrudníka: odrenina,S20.31-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie prednej steny hrudníka: tvorba pľuzgierov (netermických),S20.32-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie prednej steny hrudníka: uštipnutie hmyzom alebo vpich (nejedovatý),S20.33-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie prednej steny hrudníka: povrchové cudzie telesá (úlomky),S20.34-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie prednej steny hrudníka: iné,S20.38-Iné povrchové poranenie prednej steny hr
Iné povrchové poranenie zadnej steny hrudníka: druh poranenia bližšie neurčený,S20.40-Iné povrchové poranenie zadnej steny hru
Iné povrchové poranenie zadnej steny hrudníka: odrenina,S20.41-Iné povrchové poranenie zadnej steny hru
Iné povrchové poranenie zadnej steny hrudníka: tvorba pľuzgierov (netermických),S20.42-Iné povrchové poranenie zadnej steny hru
Iné povrchové poranenie zadnej steny hrudníka: uštipnutie hmyzom alebo vpich (nejedovatý),S20.43-Iné povrchové poranenie zadnej steny hru
Iné povrchové poranenie zadnej steny hrudníka: povrchové cudzie telesá (úlomky),S20.44-Iné povrchové poranenie zadnej steny hru
Iné povrchové poranenie zadnej steny hrudníka: iné,S20.48-Iné povrchové poranenie zadnej steny hru
Viaceré povrchové poranenia hrudníka,S20.7-Viaceré povrchové poranenia hrudníka
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: druh poranenia bližšie neurčený,S20.80-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: odrenina,S20.81-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: tvorba pľuzgierov (netermických),S20.82-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: uštipnutie hmyzom alebo vpich (nejedovatý),S20.83-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: povrchové cudzie teleso (úlomky),S20.84-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: pomliaždenie,S20.85-Povrchové poranenie inej a bližšie neurč
Povrchové poranenie inej a bližšie neurčenej časti hrudníka: iné,S20.88-Povrchové poranenie inej a bližšie neurč
Otvorená rana hrudníka,S21-Otvorená rana hrudníka
Otvorená rana prsníka,S21.0-Otvorená rana prsníka
Otvorená rana prednej steny hrudníka,S21.1-Otvorená rana prednej steny hrudníka
Otvorená rana zadnej steny hrudníka,S21.2-Otvorená rana zadnej steny hrudníka
Viaceré otvorené rany steny hrudníka,S21.7-Viaceré otvorené rany steny hrudníka
"Otvorená rana inej časti hrudníka, bližšie neurčenej",S21.80-Otvorená rana inej časti hrudníka, bližš
"Otvorená rana hrudníka, bližšie neurčenej časti",S21.9-Otvorená rana hrudníka, bližšie neurčene
"Zlomenina rebra (rebier), hrudnej kosti a hrudníkovej chrbtice",S22-Zlomenina rebra (rebier), hrudnej kosti 
"Zlomenina hrudníkového stavca, úroveň bližšie neurčená",S22.00-Zlomenina hrudníkového stavca, úroveň bl
Zlomenina hrudníkového stavca Th1 a Th2,S22.01-Zlomenina hrudníkového stavca Th1 a Th2
Zlomenina hrudníkového stavca Th3 a Th4,S22.02-Zlomenina hrudníkového stavca Th3 a Th4
Zlomenina hrudníkového stavca Th5 a Th6,S22.03-Zlomenina hrudníkového stavca Th5 a Th6
Zlomenina hrudníkového stavca Th7 a Th8,S22.04-Zlomenina hrudníkového stavca Th7 a Th8
Zlomenina hrudníkového stavca Th9 a Th10,S22.05-Zlomenina hrudníkového stavca Th9 a Th10
Zlomenina hrudníkového stavca Th11 a Th12,S22.06-Zlomenina hrudníkového stavca Th11 a Th1
Viaceré zlomeniny hrudníkovej chrbtice,S22.1-Viaceré zlomeniny hrudníkovej chrbtice
Zlomenina mostíka (sterna),S22.2-Zlomenina mostíka (sterna)
Zlomenina prvého rebra,S22.31-Zlomenina prvého rebra
Zlomenina iného rebra,S22.32-Zlomenina iného rebra
"Sériová zlomenina rebier, bližšie neurčená",S22.40-Sériová zlomenina rebier, bližšie neurče
Sériová zlomenina rebier s postihnutím prvého rebra,S22.41-Sériová zlomenina rebier s postihnutím p
Sériová zlomenina rebier s postihnutím dvoch rebier,S22.42-Sériová zlomenina rebier s postihnutím d
Sériová zlomenina rebier s postihnutím troch rebier,S22.43-Sériová zlomenina rebier s postihnutím t
Sériová zlomenina rebier s postihnutím štyroch a viacerých rebier,S22.44-Sériová zlomenina rebier s postihnutím š
Instabilný (vlajúci) hrudník,S22.5-Instabilný (vlajúci) hrudník
Zlomenina inej kostnej časti hrudníka,S22.8-Zlomenina inej kostnej časti hrudníka
Zlomenina bližšie neurčenej kostnej časti hrudníka,S22.9-Zlomenina bližšie neurčenej kostnej čast
"Vykĺbenie, vyvrtnutie a natiahnutie kĺbov a väzov hrudníka",S23-Vykĺbenie, vyvrtnutie a natiahnutie kĺbo
Úrazové natrhnutie hrudníkovej medzistavcovej platničky,S23.0-Úrazové natrhnutie hrudníkovej medzistav
Vykĺbenie hrudníkového stavca v bližšie neurčenej úrovni,S23.10-Vykĺbenie hrudníkového stavca v bližšie 
Vykĺbenie hrudníkového stavca v úrovni Th1/Th2 a Th2/Th3,S23.11-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th3/Th4 a Th4/Th5,S23.12-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th5/Th6 a Th6/Th7,S23.13-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th7/Th8 a Th8/Th9,S23.14-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th9/Th10 a Th10/Th11,S23.15-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th11/Th12,S23.16-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie hrudníkového stavca v úrovni Th12/L1,S23.17-Vykĺbenie hrudníkového stavca v úrovni T
Vykĺbenie iných a bližšie neurčených častí hrudníka,S23.2-Vykĺbenie iných a bližšie neurčených čas
Vyvrtnutie a natiahnutie hrudníkovej chrbtice,S23.3-Vyvrtnutie a natiahnutie hrudníkovej chr
Vyvrtnutie a natiahnutie rebier a hrudnej kosti,S23.4-Vyvrtnutie a natiahnutie rebier a hrudne
Vyvrtnutie a natiahnutie iných a bližšie neurčených častí hrudníka,S23.5-Vyvrtnutie a natiahnutie iných a bližšie
Poranenie nervov a miechy v úrovni hrudníka,S24-Poranenie nervov a miechy v úrovni hrudn
Otras a opuch hrudníkovej miechy,S24.0-Otras a opuch hrudníkovej miechy
"Poranenie hrudníkovej miechy, bližšie neurčené",S24.10-Poranenie hrudníkovej miechy, bližšie ne
Kompletné priečne poranenie hrudníkovej miechy,S24.11-Kompletné priečne poranenie hrudníkovej 
Nekompletné priečne poranenie hrudníkovej miechy,S24.12-Nekompletné priečne poranenie hrudníkove
Poranenie hrudníkového nervového koreňa,S24.2-Poranenie hrudníkového nervového koreňa
Poranenie periférnych nervov hrudníka,S24.3-Poranenie periférnych nervov hrudníka
Poranenie nervov hrudníkového sympatika,S24.4-Poranenie nervov hrudníkového sympatika
Poranenie iných nervov hrudníka,S24.5-Poranenie iných nervov hrudníka
Poranenie bližšie neurčeného nervu hrudníka,S24.6-Poranenie bližšie neurčeného nervu hrudn
Poranenie krvných ciev hrudníka,S25-Poranenie krvných ciev hrudníka
Poranenie hrudníkovej aorty,S25.0-Poranenie hrudníkovej aorty
Poranenie truncus brachiocephalicus alebo a.subclavia,S25.1-Poranenie truncus brachiocephalicus aleb
Poranenie hornej dutej žily,S25.2-Poranenie hornej dutej žily
Poranenie v. innominata (v. brachiocephalica) alebo v. subclavia,S25.3-Poranenie v. innominata (v. brachiocepha
Poranenie pľúcnych krvných ciev,S25.4-Poranenie pľúcnych krvných ciev
Poranenie medzirebrových ciev,S25.5-Poranenie medzirebrových ciev
Poranenie viacerých krvných ciev hrudníka,S25.7-Poranenie viacerých krvných ciev hrudník
Poranenie iných krvných ciev hrudníka,S25.8-Poranenie iných krvných ciev hrudníka
Poranenie bližšie neurčenej krvnej cievy hrudníka,S25.9-Poranenie bližšie neurčenej krvnej cievy
Poranenie srdca,S26-Poranenie srdca
Poranenie srdca so zakrvácaním do osrdcovníkového vaku (hemoperikardom),S26.0-Poranenie srdca so zakrvácaním do osrdco
Pomliaždenie srdca,S26.81-Pomliaždenie srdca
Tržné poranenie srdca bez otvorenia srdcovej dutiny,S26.82-Tržné poranenie srdca bez otvorenia srdc
Tržné poranenie srdca s otvorením srdcovej dutiny,S26.83-Tržné poranenie srdca s otvorením srdcov
Iné poranenia srdca,S26.88-Iné poranenia srdca
"Poranenie srdca, bližšie neurčené",S26.9-Poranenie srdca, bližšie neurčené
Poranenie iného a bližšie neurčeného vnútrohrudníkového orgánu,S27-Poranenie iného a bližšie neurčeného vnú
Úrazový pneumotorax,S27.0-Úrazový pneumotorax
Úrazový hemotorax,S27.1-Úrazový hemotorax
Úrazový hemopneumotorax,S27.2-Úrazový hemopneumotorax
Pomliaždenie a hematóm pľúc,S27.31-Pomliaždenie a hematóm pľúc
Tržné poranenie pľúc,S27.32-Tržné poranenie pľúc
Iné a bližšie neurčené poranenie pľúc,S27.38-Iné a bližšie neurčené poranenie pľúc
Poranenie priedušky,S27.4-Poranenie priedušky
Poranenie priedušnice v oblasti hrudníka,S27.5-Poranenie priedušnice v oblasti hrudníka
Poranenie pohrudnice,S27.6-Poranenie pohrudnice
Viaceré poranenia vnútrohrudníkových orgánov,S27.7-Viaceré poranenia vnútrohrudníkových org
Poranenie bránice,S27.81-Poranenie bránice
Poranenie ductus thoracicus,S27.82-Poranenie ductus thoracicus
Poranenie hrudnej časti pažeráka,S27.83-Poranenie hrudnej časti pažeráka
Poranenie dojčenskej žľazy [týmusu],S27.84-Poranenie dojčenskej žľazy [týmusu]
Poranenie iných bližšie určených vnútrohrudníkových orgánov a štruktúr,S27.88-Poranenie iných bližšie určených vnútroh
"Poranenie vnútrohrudníkového orgánu, bližšie nerčeného",S27.9-Poranenie vnútrohrudníkového orgánu, bli
Drvivé poranenie hrudníka a úrazová amputácia časti hrudníka,S28-Drvivé poranenie hrudníka a úrazová ampu
Rozdrvený hrudník,S28.0-Rozdrvený hrudník
Úrazová amputácia časti hrudníka,S28.1-Úrazová amputácia časti hrudníka
Iné a bližšie neurčené poranenie hrudníka,S29-Iné a bližšie neurčené poranenie hrudník
Poranenie svalu a šľachy v úrovni hrudníka,S29.0-Poranenie svalu a šľachy v úrovni hrudní
Viaceré poranenia hrudníka,S29.7-Viaceré poranenia hrudníka
"Iné poranenie hrudníka, bližšie určené",S29.8-Iné poranenie hrudníka, bližšie určené
"Poranenie hrudníka, bližšie neurčené",S29.9-Poranenie hrudníka, bližšie neurčené
"Povrchové poranenie brucha, drieku a panvy",S30-Povrchové poranenie brucha, drieku a pan
Pomliaždenie driekovokrížovej oblasti a panvy,S30.0-Pomliaždenie driekovokrížovej oblasti a 
Pomliaždenie brušnej steny,S30.1-Pomliaždenie brušnej steny
Pomliaždenie vonkajších pohlavných orgánov,S30.2-Pomliaždenie vonkajších pohlavných orgán
"Viaceré povrchové poranenia brucha, drieku a panvy",S30.7-Viaceré povrchové poranenia brucha, drie
"Iné povrchové poranenie brucha, drieku a panvy: druh poranenia bližšie neurčený",S30.80-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: odrenina",S30.81-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: tvorba pľuzgierov (netermických)",S30.82-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: uštipnutie hmyzom alebo vpich (nejedovatý)",S30.83-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: povrchové cudzie telesá (úlomky)",S30.84-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: pomliaždenie",S30.85-Iné povrchové poranenie brucha, drieku a
"Iné povrchové poranenie brucha, drieku a panvy: iné",S30.88-Iné povrchové poranenie brucha, drieku a
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: druh poranenia bližšie neurčený",S30.90-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: odrenina",S30.91-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: tvorba pľuzgierov (netermických)",S30.92-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: uštipnutie hmyzom alebo vpich (nejedovatý)",S30.93-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: povrchové cudzie telesá (úlomky)",S30.94-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: pomliaždenie",S30.95-Povrchové poranenie bližšie neurčenej ča
"Povrchové poranenie bližšie neurčenej časti brucha, drieku a panvy: iné",S30.98-Povrchové poranenie bližšie neurčenej ča
"Otvorená rana brucha, drieku a panvy",S31-Otvorená rana brucha, drieku a panvy
