Cholera,A00-Cholera
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; sport,V49.30-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; volný čas,V49.31-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; výdělečná činnost,V49.32-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; jiné práce,V49.33-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V49.34-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; jiné určené činnosti,V49.38-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené neprovozní (mimosilniční) nehodě; neurčené činnosti,V49.39-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě,V49.4-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; sport,V49.40-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; volný čas,V49.41-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; výdělečná činnost,V49.42-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; jiné práce,V49.43-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V49.44-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; jiné určené činnosti,V49.48-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; řidič zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; neurčené činnosti,V49.49-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě,V49.5-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; sport,V49.50-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; volný čas,V49.51-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; výdělečná činnost,V49.52-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; jiné práce,V49.53-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V49.54-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; jiné určené činnosti,V49.58-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; cestující zraněný při srážce s jinými a neurčenými motorovými vozidly při provozní (silniční) nehodě; neurčené činnosti,V49.59-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě,V49.6-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; sport,V49.60-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; volný čas,V49.61-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; výdělečná činnost,V49.62-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; jiné práce,V49.63-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V49.64-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; jiné určené činnosti,V49.68-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; neurčený člen osádky osobního automobilu zraněný při srážce s jinými a NS motorovými vozidly při provozní (silniční) nehodě; neurčené činnosti,V49.69-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách,V49.8-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; sport,V49.80-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; volný čas,V49.81-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; výdělečná činnost,V49.82-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; jiné práce,V49.83-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; odpočinek‚ spánek‚ jídlo,V49.84-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; jiné určené činnosti,V49.88-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při jiných určených dopravních nehodách; neurčené činnosti,V49.89-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě,V49.9-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; sport,V49.90-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; volný čas,V49.91-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; výdělečná činnost,V49.92-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; jiné práce,V49.93-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V49.94-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; jiné určené činnosti,V49.98-Člen osádky osobního automobilu zraněný 
Člen osádky osobního automobilu zraněný při jiných a neurčených dopravních nehodách; člen osádky (kterýkoliv) osobního automobilu zraněný při neurčené provozní (silniční) nehodě; neurčené činnosti,V49.99-Člen osádky osobního automobilu zraněný 
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem,V50-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě,V50.0-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; sport,V50.00-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; volný čas,V50.01-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V50.02-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V50.03-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.04-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V50.08-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V50.09-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě,V50.1-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; sport,V50.10-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; volný čas,V50.11-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V50.12-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V50.13-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.14-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V50.18-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V50.19-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě,V50.2-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; sport,V50.20-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; volný čas,V50.21-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; výdělečná činnost,V50.22-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; jiné práce,V50.23-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.24-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V50.28-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při neprovozní (mimosilniční) nehodě; neurčené činnosti,V50.29-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě,V50.3-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; sport,V50.30-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; volný čas,V50.31-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V50.32-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V50.33-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.34-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V50.38-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V50.39-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování,V50.4-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; sport,V50.40-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; volný čas,V50.41-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; výdělečná činnost,V50.42-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; jiné práce,V50.43-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; odpočinek‚ spánek‚ jídlo,V50.44-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; jiné určené činnosti,V50.48-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba zraněná při nastupování nebo vystupování; neurčené činnosti,V50.49-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě,V50.5-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; sport,V50.50-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; volný čas,V50.51-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; výdělečná činnost,V50.52-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; jiné práce,V50.53-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.54-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; jiné určené činnosti,V50.58-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; řidič zraněný při provozní (silniční) nehodě; neurčené činnosti,V50.59-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě,V50.6-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; sport,V50.60-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; volný čas,V50.61-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; výdělečná činnost,V50.62-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; jiné práce,V50.63-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.64-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; jiné určené činnosti,V50.68-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; cestující zraněný při provozní (silniční) nehodě; neurčené činnosti,V50.69-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě,V50.7-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; sport,V50.70-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; volný čas,V50.71-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; výdělečná činnost,V50.72-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; jiné práce,V50.73-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.74-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; jiné určené činnosti,V50.78-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; osoba vně vozidla zraněná při provozní (silniční) nehodě; neurčené činnosti,V50.79-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě,V50.9-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; sport,V50.90-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; volný čas,V50.91-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; výdělečná činnost,V50.92-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; jiné práce,V50.93-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V50.94-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; jiné určené činnosti,V50.98-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s chodcem nebo zvířetem; neurčený člen osádky dodávkového či lehkého nákladního automobilu zraněný při provozní (silniční) nehodě; neurčené činnosti,V50.99-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem,V51-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem; řidič zraněný při neprovozní (mimosilniční) nehodě,V51.0-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem; řidič zraněný při neprovozní (mimosilniční) nehodě; sport,V51.00-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem; řidič zraněný při neprovozní (mimosilniční) nehodě; volný čas,V51.01-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem; řidič zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V51.02-Člen osádky dodávkového nebo lehkého nák
Člen osádky dodávkového nebo lehkého nákladního automobilu zraněný při srážce s jízdním kolem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V51.03-Člen osádky dodávkového nebo lehkého nák
